field_code,group_code,group_name,full_text,short_text,,
B01001_001E,B01001,Sex By Age,Estimate|Total,sex_age_tot,,
B01001_002E,B01001,Sex By Age,Estimate|Total|Male,sex_age_tot_m,,
B01001_026E,B01001,Sex By Age,Estimate|Total|Female,sex_age_tot_f,,
B01001_001E_WA,B01001,Sex By Age,Estimate|Total|Working Age,sex_work_age_tot,,
B01001_002E_WA,B01001,Sex By Age,Estimate|Total|Male|Working Age,sex_work_age_tot_m,,
B01001_026E_WA,B01001,Sex By Age,Estimate|Total|Female|Working Age,sex_work_age_tot_f,,
B01001_001E_NWA,B01001,Sex By Age,Estimate|Total|Not Working Age,sex_not_work_age_tot,,
B01001_002E_NWA,B01001,Sex By Age,Estimate|Total|Male|Not Working Age,sex_not_work_age_tot_m,,
B01001_026E_NWA,B01001,Sex By Age,Estimate|Total|Female|Not Working Age,sex_not_work_age_tot_f,,
B02001_001E,B02001,Race,Estimate|Total,race_tot,,
B02001_002E,B02001,Race,Estimate|Total|White alone,race_tot_w,,
B02001_003E,B02001,Race,Estimate|Total|Black or African American alone,race_tot_b,,
B02001_004E,B02001,Race,Estimate|Total|American Indian and Alaska Native alone,race_tot_othr,,*
B02001_005E,B02001,Race,Estimate|Total|Asian alone,race_tot_a,,
B02001_006E,B02001,Race,Estimate|Total|Native Hawaiian and Other Pacific Islander alone,race_tot_othr,,*
B02001_007E,B02001,Race,Estimate|Total|Some other race alone,race_tot_othr,,*
B02001_008E,B02001,Race,Estimate|Total|Two or more races,race_tot_othr,,*
B02001_009E,B02001,Race,Estimate|Total|Two or more races|Two races including Some other race,race_tot_othr,,*
B02001_010E,B02001,Race,"Estimate|Total|Two or more races|Two races excluding Some other race, and three or more races",race_tot_othr,,*
B03002_001E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total,,,what is this?
B03002_002E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino,non_hisp_total,,
B03002_003E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|White alone,,,
B03002_004E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Black or African American alone,,,
B03002_005E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|American Indian and Alaska Native alone,,,
B03002_006E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Asian alone,,,
B03002_007E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Native Hawaiian and Other Pacific Islander alone,,,
B03002_008E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Some other race alone,,,
B03002_009E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Two or more races,,,
B03002_010E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Not Hispanic or Latino|Two or more races|Two races including Some other race,,,
B03002_011E,B03002,Hispanic Or Latino Origin By Race,"Estimate|Total|Not Hispanic or Latino|Two or more races|Two races excluding Some other race, and three or more races",,,
B03002_012E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino,hisp_tot,,
B03002_013E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|White alone,,,
B03002_014E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Black or African American alone,,,
B03002_015E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|American Indian and Alaska Native alone,,,
B03002_016E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Asian alone,,,
B03002_017E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Native Hawaiian and Other Pacific Islander alone,,,
B03002_018E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Some other race alone,,,
B03002_019E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Two or more races,,,
B03002_020E,B03002,Hispanic Or Latino Origin By Race,Estimate|Total|Hispanic or Latino|Two or more races|Two races including Some other race,,,
B03002_021E,B03002,Hispanic Or Latino Origin By Race,"Estimate|Total|Hispanic or Latino|Two or more races|Two races excluding Some other race, and three or more races",,,
B08134_001E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total,trans_means_time_tot,,
B08134_002E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|Less than 10 minutes,trans_means_time_tot_00-15,,
B08134_003E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|10 to 14 minutes,trans_means_time_tot_00-15,,*
B08134_004E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|15 to 19 minutes,trans_means_time_tot_15_30,,
B08134_005E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|20 to 24 minutes,trans_means_time_tot_15_30,,*
B08134_006E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|25 to 29 minutes,trans_means_time_tot_15_30,,*
B08134_007E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|30 to 34 minutes,trans_means_time_tot_30_60,,
B08134_008E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|35 to 44 minutes,trans_means_time_tot_30_60,,*
B08134_009E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|45 to 59 minutes,trans_means_time_tot_30_60,,*
B08134_010E,B08134,Means Of Transportation To Work By Travel Time To Work,Estimate|Total|60 or more minutes,trans_means_time_tot_60_plus,,
B08134_011E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van",trans_car_time_tot,,
B08134_012E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|Less than 10 minutes",trans_car_time_tot_00_15,,
B08134_013E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|10 to 14 minutes",trans_car_time_tot_00_15,,*
B08134_014E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|15 to 19 minutes",trans_car_time_tot_15_30,,
B08134_015E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|20 to 24 minutes",trans_car_time_tot_15_30,,*
B08134_016E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|25 to 29 minutes",trans_car_time_tot_15_30,,*
B08134_017E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|30 to 34 minutes",trans_car_time_tot_30_60,,
B08134_018E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|35 to 44 minutes",trans_car_time_tot_30_60,,*
B08134_019E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|45 to 59 minutes",trans_car_time_tot_30_60,,*
B08134_020E,B08134,Means Of Transportation To Work By Travel Time To Work,"Estimate|Total|Car, truck, or van|60 or more minutes",trans_means_time_tot_60_plus,,
